Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2050 [YR2050]
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7276000,9480000
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2307681000,2282729000
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,653182000,761414000
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,620352000,725981000
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,637480000,747141000
Latvia,LVA,"Population, total",SP.POP.TOTL,1905000,1600000
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1057439000,1876798000
Lebanon,LBN,"Population, total",SP.POP.TOTL,6825000,6528000
Lesotho,LSO,"Population, total",SP.POP.TOTL,2142000,2665000
Liberia,LBR,"Population, total",SP.POP.TOTL,5058000,9340000
Libya,LBY,"Population, total",SP.POP.TOTL,6871000,8525000
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38000,40000
Lithuania,LTU,"Population, total",SP.POP.TOTL,2767000,2411000
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6534303000,8387904000
Low income,LIC,"Population, total",SP.POP.TOTL,743236000,1415799000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3105181000,4163525000
Luxembourg,LUX,"Population, total",SP.POP.TOTL,622000,806000
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,649000,838000
Madagascar,MDG,"Population, total",SP.POP.TOTL,27691000,54048000
Malawi,MWI,"Population, total",SP.POP.TOTL,19130000,38143000
Malaysia,MYS,"Population, total",SP.POP.TOTL,32366000,40550000
Maldives,MDV,"Population, total",SP.POP.TOTL,541000,586000
Mali,MLI,"Population, total",SP.POP.TOTL,20251000,43586000
Malta,MLT,"Population, total",SP.POP.TOTL,486000,464000
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,59000,75000
Mauritania,MRT,"Population, total",SP.POP.TOTL,4650000,9025000
Mauritius,MUS,"Population, total",SP.POP.TOTL,1270000,1213000
